********************************************************************************
product = WebSphere Application Server 19.0.0.3 (wlp-1.0.26.cl190320190321-1636)
wlp.install.dir = /opt/ibm/wlp/
server.config.dir = /home/default/app/mc-target/liberty/wlp/usr/servers/defaultServer/
java.home = /home/default/java/jre
java.version = 1.8.0_221
java.runtime = Java(TM) SE Runtime Environment (8.0.5.40 - pxa6480sr5fp40-20190807_01(SR5 FP40))
os = Linux (4.9.184-linuxkit; amd64) (en_US)
process = 319@ae08c72be9da
********************************************************************************
[9/21/19 15:25:58:498 UTC] 00000035 SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:58:500 UTC] 00000035 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:58:501 UTC] 00000035 SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:58:597 UTC] 00000059 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:58:599 UTC] 00000059 SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:58:600 UTC] 00000059 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:58:601 UTC] 00000059 SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:58:698 UTC] 0000008d SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:58:700 UTC] 0000008d SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:58:701 UTC] 0000008d SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:58:702 UTC] 0000008d SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:58:803 UTC] 00000063 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:58:805 UTC] 00000063 SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:58:806 UTC] 00000063 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:58:807 UTC] 00000063 SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:58:899 UTC] 0000005a SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:58:901 UTC] 0000005a SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:58:902 UTC] 0000005a SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:58:903 UTC] 0000005a SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:59:004 UTC] 000000a9 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:59:006 UTC] 000000a9 SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:59:008 UTC] 000000a9 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:59:009 UTC] 000000a9 SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:59:100 UTC] 000000ad SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:59:101 UTC] 000000ad SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:59:103 UTC] 000000ad SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:59:104 UTC] 000000ad SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:59:215 UTC] 00000035 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:59:217 UTC] 00000035 SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:59:218 UTC] 00000035 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:59:220 UTC] 00000035 SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:59:306 UTC] 00000059 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:59:308 UTC] 00000059 SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:59:310 UTC] 00000059 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:59:311 UTC] 00000059 SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:59:403 UTC] 00000080 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:59:406 UTC] 00000080 SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:59:407 UTC] 00000080 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:59:409 UTC] 00000080 SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:59:505 UTC] 0000005a SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:59:507 UTC] 0000005a SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:59:509 UTC] 0000005a SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:59:510 UTC] 0000005a SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:59:605 UTC] 000000a9 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:59:607 UTC] 000000a9 SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:59:608 UTC] 000000a9 SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:59:610 UTC] 000000a9 SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:59:710 UTC] 000000ad SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:59:712 UTC] 000000ad SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:59:714 UTC] 000000ad SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:59:715 UTC] 000000ad SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:59:806 UTC] 0000008f SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:59:808 UTC] 0000008f SystemOut                                                    O Main Player HP: 94
[9/21/19 15:25:59:810 UTC] 0000008f SystemOut                                                    O Main Player Level: 1
[9/21/19 15:25:59:811 UTC] 0000008f SystemOut                                                    O Enemy Level: 3
[9/21/19 15:25:59:908 UTC] 00000040 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:59:911 UTC] 00000040 SystemOut                                                    O Main Player HP: 94
